name,npi,mobile_no,address,speciality,member_impact
Dr. Maria Feliciano,1679276422,571-289-4240,"760 EAYRESTOWN RD APT C2-4 LUMBERTON NJ 080483149","Behavior Technician",3
Dr. Madison Tamberino,1033829841,410-939-8530,"251 LEWIS LN STE 104 HAVRE DE GRACE MD 210783752","Physical Therapist",2
Dr. Malena Lennon,1215682703,619-425-8212,"542 BROADWAY STE G CHULA VISTA CA 919105304","Physical Therapist",1
Dr. Michelle York,1083034730,858-333-7449,"1040 CARLSBAD VILLAGE DR APT 234 CARLSBAD CA 920081936","Marriage & Family Therapist",4
Dr. Eli Wercberger Do Pllc,1114753183,212-734-6621,"749 OCEAN PKWY BROOKLYN NY 112307813","Internal Medicine", 2
Dr. Rana Khan,1164976585,916-525-7400,"8118 TIMBERLAKE WAY STE 210 SACRAMENTO CA 958235400","Surgery", 1
Dr. Pathway 33 Llc,1720883325,310-930-0701,"2306 HOLLYWOOD DR STOCKTON CA 952101626","In Home Supportive Care", 2
Dr. Rana S Khan Md Pc,1760271159,217-775-4022,"8118 TIMBERLAKE WAY STE 210 SACRAMENTO CA 958235400","Surgery",3
Dr. Kiara Salinas,1851251763,480-417-4071,"11335 W BUCKEYE RD AVONDALE AZ 853236814","Physical Therapist",4
Dr. Tyran Dewalt,1720366933,502-589-8600,"10510 LA GRANGE RD LOUISVILLE KY 402231277","Social Worker, Clinical",5
Dr. Marc Dentico-Olin Dmd Md Inc,1376152934,619-298-2200,"2878 CAMINO DEL RIO S STE 210 SAN DIEGO CA 921083845","Dentist, Oral and Maxillofacial Surgery",2
Dr. Malcolm Marshman,1386141786,412-224-7569,"2550 MONROEVILLE BLVD BLDG 1 MONROEVILLE PA 151462366","In Home Supportive Care",3
Dr. Yvonne Lee,1528695483,973-798-8145,"1027 RYMILL RUN CHERRY HILL NJ 080031956","Nurse Practitioner, Psych/Mental Health",1
Dr. Ivy Nnorom,1447737077,973-996-2078,"2040 MILLBURN AVE STE 206 MAPLEWOOD NJ 070403716","Nurse Practitioner, Family",2
Dr. Skyview Health Services Llc,1386421915,973-996-2078,"2040 MILLBURN AVE STE 206 MAPLEWOOD NJ 070403716","Nurse Practitioner, Psych/Mental Health",3
Dr. Kate Sera,1366207862,209-877-7844,"3824 BUELL ST STE A2 OAKLAND CA 946192861","Behavior Technician",2
Dr. Sukriti Gupta,1295017861,646-580-2912,"200 S SERVICE RD STE 101 ROSLYN HEIGHTS NY 115772133","Counselor, Mental Health",5
Dr. Hanger Medical Llc,1689567547,646-793-1777,"55 E 124TH ST NEW YORK NY 100351815","Prosthetic/Orthotic Supplier",3
Dr. Sergio Jr Sarza,1578289450,256-996-6818,"13613 MERIDIAN E STE 220 PUYALLUP WA 983733664","Physical Therapist",1
Dr. Suzette Bazan,1457213365,305-364-5533,"14750 SW 26TH ST STE 209 MIAMI FL 331855937","Speech-Language Pathologist",3
Dr. Alexis Walther,1366304271,952-993-3123,"3800 PARK NICOLLET BLVD ST LOUIS PARK MN 554162527","Occupational Therapist", 4
Dr. Homeward Initiative,1184586091,312-550-6153,"2906 E 83RD ST CHICAGO IL 606172135","In Home Supportive Care", 5
Dr. Norma Gouyonnet,1992667802,201-286-9835,"1140 89TH ST FL 2 NORTH BERGEN NJ 070474402","Nurse Practitioner, Family", 3
Dr. Teresita Hurtado Ramos,1801758719,682-888-9623,"734 ZEE PRIDE LN RICHLAND WA 993525581","Social Worker", 2
Dr. Billie Lyde,1710849625,469-569-7918,"14330 MIDWAY RD STE 119 FARMERS BRANCH TX 752443513","Massage Therapist",1
Dr. Megan Wunderlich,1629930532,305-555-1212,"2418 E YORK ST PHILADELPHIA PA 191253006","Nurse Practitioner, Family",3
Dr. Ascend Relationship Counseling Pllc,1538021449,801-836-3755,"411 W MATTHEWS AVE STILLWATER OK 740757517","Clinic/Center, Mental Health (Including Community Mental Health Center)",1
Dr. Juan Villalonga,1447112354,305-878-3216,"11281 SW 159TH ST MIAMI FL 331571118","Nurse Practitioner, Psych/Mental Health",2
Dr. Lkaf Services Pllc,1356203269,562-201-2304,"18522 SKIPPERS HELM HUMBLE TX 773462876","Nurse Practitioner, Family",3
Dr. Paul Abreu,1265394175,917-450-5159,"188 WHITE SANDS WAY ARVERNE NY 116921259","Peer Specialist",4
Dr. Suyeon Yang,1174485080,857-540-6043,"69 SACO ST NEWTON UPPER FALLS MA 024641319","Counselor, Mental Health",5
Dr. Crux Physio Pllc,1083576995,206-427-3988,"6928 ANTHEM ST E FIFE WA 984243805","Clinic/Center, Physical Therapy",2
Dr. Kallie Ivey,1891657706,855-782-7822,"5932 FAIRMONT PKWY STE 120 PASADENA TX 775054020","Behavior Technician",2
Dr. Angelique Hernandez,1700748613,661-899-0232,"807 E AVENUE J10 LANCASTER CA 935354131","Nurse Practitioner, Family",3
Dr. Brandi Phillips,1619839529,360-609-9262,"411 N AKARD ST APT 518 DALLAS TX 752013356","Massage Therapist",5
Dr. Maria Molinari,1528920436,808-825-2965,"16610 NW 178TH ST PLATTE CITY MO 640799023","Behavior Technician",2
Dr. Cassandra Lumpkin,1437011343,319-338-0581,"601 HIGHWAY 6 W IOWA CITY IA 522462209","Registered Nurse, Medical-Surgical",1
Dr. Annie Yam,1346102258,714-468-4969,"11141 WESTMINSTER AVE GARDEN GROVE CA 928433641","Physical Therapist",1
Dr. Adelle Light,1255293163,512-246-4323,"2100 SCENIC DR STE 140 GEORGETOWN TX 786267720","Counselor, Mental Health",2
Dr. Deena Haque,1164384079,410-955-5000,"600 N WOLFE ST BALTIMORE MD 212870005","Student in an Organized Health Care Education/Training Program",1
Dr. Andrea Warmington,1073475984,917-855-9597,"247 PROSPECT PL APT 3 BROOKLYN NY 112383963","Doula",1
Dr. Connor Chin,1982566899,301-563-3081,"8380 COLESVILLE RD STE 400 SILVER SPRING MD 209106263","Physical Therapist",4
Dr. Maria Molinari,1528920436,808-825-2965,"16610 NW 178TH ST PLATTE CITY MO 640799023","Behavior Technician",5
Dr. Cassandra Lumpkin,1437011343,319-338-0581,"601 HIGHWAY 6 W IOWA CITY IA 522462209","Registered Nurse, Medical-Surgical",1
Dr. Annie Yam,1346102258,714-468-4969,"11141 WESTMINSTER AVE GARDEN GROVE CA 928433641","Physical Therapist", 3
Dr. Adelle Light,1255293163,512-246-4323,"2100 SCENIC DR STE 140 GEORGETOWN TX 786267720","Counselor, Mental Health",2
Dr. Deena Haque,1164384079,410-955-5000,"600 N WOLFE ST BALTIMORE MD 212870005","Student in an Organized Health Care Education/Training Program",1 
Dr. Andrea Warmington,1073475984,917-855-9597,"247 PROSPECT PL APT 3 BROOKLYN NY 112383963","Doula",2
Dr. Connor Chin,1982566899,301-563-3081,"8380 COLESVILLE RD STE 400 SILVER SPRING MD 209106263","Physical Therapist",3
Dr. Christina Sloan,1790647600,509-885-3896,"320 E NIXON AVE CHELAN WA 988168613","Registered Nurse",4
Dr. Quy Huynh,1336001247,623-691-6600,"1300 S WATSON RD BUCKEYE AZ 853266303","Pharmacist",2
Dr. Jazzmen Blanks,1245192152,260-445-0633,"5501 OLD DOVER BLVD APT 1 FORT WAYNE IN 468352851","Nurse's Aide",1
Dr. Georgette Jeter,1154283067,859-494-2646,"207 SCOTTSDALE BLVD  LOUISVILLE KY 402144742","Nurse Practitioner, Family",1
Dr. Ensurcare Llc.,1063374973,412-708-8857,"2550 MONROEVILLE BLVD BLDG 1 MONROEVILLE PA 151462366","Home Health",1
Dr. Nathan Warmington,1427910348,510-268-8120,"1200 CONCORD AVE STE 185 CONCORD CA 945205006","Behavior Technician",2
Dr. Michael Garcia,1336001254,626-272-7621,"341 W CENTRAL AVE APT B MONROVIA CA 910165211","Massage Therapist",3
Dr. Michael Diaz,1154283075,661-526-8153,"40266 REATA RD PALMDALE CA 935502164","Registered Nurse, Critical Care Medicine",1
Dr. Viviette Smith,1063374981,262-682-8112,"1130 S 74TH ST WEST ALLIS WI 532143007","Home Health Aide",3
Dr. Saladin-Malik Brown,1417819335,650-554-8597,"660 1ST AVE # A  SAN BRUNO CA 940664502","Counselor, Mental Health",2
Dr. Jimenez Diaz Support Services Llc,1326900242,347-364-0990,"1111 COMMONWEALTH AVE APT 8TT  BRONX NY 104721038","Case Management",2
Dr. Amy Mchugh,1235091158,303-917-7219,"7215 S KENDALL BLVD LITTLETON CO 801284662","Doula",3
Dr. Jessica Chapman-Allen,1144182064,402-805-3107,"5220 NW PEMBERLY LN LINCOLN NE 685214561","Registered Nurse",4
Dr. Hugh Scott,1053273979,352-505-9428,"4235 RACHEL BLVD  SPRING HILL FL 346072529","Behavior Technician",3
Dr. Deborah Stoke,1962364885,502-893-1117,"4001 DUTCHMANS LN LOUISVILLE KY 402074714","Pharmacist",2
Dr. Jennifer Giffen,1871455790,318-914-2664,"2112 KAISER DR AUSTIN TX 787483430","Registered Nurse",3
Dr. Chia-Wei Lin,1780546606,312-237-7333,"2101 HAZELWOOD DR URBANA IL 618016554","Student in an Organized Health Care Education/Training Program",1
Dr. Lisa Ralston,1598627416,989-944-1341,"154 MERCER ST PORT CHARLOTTE FL 339541641","Licensed Practical Nurse",2
Dr. Jorge Resendiz,1407718323,401-462-7234,"57 POWER RD CRANSTON RI 029203046","Registered Nurse",1
Dr. Eza Ali,1225990146,281-440-1000,"710 CYPRESS CREEK PKWY HOUSTON TX 770903402","Pharmacist",2
Dr. Daniela Diaz,1134081052,828-782-1201,"73 WALNUT DR SPRING LAKE NJ 077622128","Registered Nurse",1
Dr. Kaitlyn Quinn,1043172968,586-864-6873,"8449 WILLIAMSTOWN DR SHELBY TOWNSHIP MI 483162656","Nurse Practitioner, Family",3
Dr. Whitney Collins,1952263873,734-657-0138,"103 CARMELL ST BELLEVILLE MI 481114908","Counselor",1
Dr. Chelsea Jennings,1861354789,352-410-1636,"2700 WESTHALL LN. SUITE 150 MAITLAND FL 32751","Behavior Technician",3
Dr. Amor And Growth Therapy Pllc,1770445694,773-592-48263,"7649 W SUNSET DR CHICAGO IL 606381427","Counselor, Mental Health",2
Dr. Lillie Timm,1689536500,402-922-1345,"2094 14TH RD PENDER NE 680474027","Occupational Therapy Assistant, Environmental Modification",1
Dr. Kathleen Vuraich,1497617310,216-531-9000,"18901 LAKE SHORE BLVD EUCLID OH 441191078","Nurse Practitioner, Acute Care",2
Dr. Equestrian Bridges,1306708227,479-301-2814,"5920 S BELLVIEW RD ROGERS AR 727589024","Speech-Language Pathologist,  ",3
Dr. Kaitlyn Bammel,1124980040,906-273-0072,"545 COUNTY ROAD HQ MARQUETTE MI 498558855","Social Worker, Clinical",2
Dr. Gabriela Sanchez,1033871946,507-386-1234,"1234 MAIN ST ROCHESTER MN 559016789","Registered Nurse, Medical-Surgical",3
Dr. Christina Sloan,1790647600,509-885-3896,"320 E NIXON AVE CHELAN WA 988168613","Registered Nurse",2
Dr. Quy Huynh,1336001247,623-691-6600,"1300 S WATSON RD BUCKEYE AZ 853266303","Pharmacist",1
Dr. Jazzmen Blanks,1245192152,260-445-0633,"5501 OLD DOVER BLVD APT 1 FORT WAYNE IN 468352851","Nurse's Aide",1
Dr. Georgette Jeter,1154283067,859-494-2646,"207 SCOTTSDALE BLVD LOUISVILLE KY 402144742","Nurse Practitioner, Family",2
Dr. Ensurcare Llc.,1063374973,412-708-8857,"2550 MONROEVILLE BLVD BLDG 1 MONROEVILLE PA 151462366","Home Health",3
Dr. Saldia Foster,1972465888,917-756-2898,"11527 200TH ST SAINT ALBANS NY 114122832","Registered Nurse",2
Dr. Lucero Cordero,1881556793,708-216-3229  ,"2160 S 1ST AVE APT 2W MAYWOOD IL 601533328","Student in an Organized Health Care Education/Training Program",1
Dr. Madelyn Young,1790647618,808-780-0014,"1210 ARTESIAN ST STE 202 HONOLULU HI 968261320","Behavior Technician",4
Dr. Nathan Warmington,1427910348,510-268-8120,"1200 CONCORD AVE STE 185 CONCORD CA 945205006","Behavior Technician",2
Dr. Michael Garcia,1336001254,626-272-7621,"341 W CENTRAL AVE APT B MONROVIA CA 910165211","Massage Therapist",3
Dr. Michael Diaz,1154283075,661-526-8153,"40266 REATA RD PALMDALE CA 935502164","Registered Nurse, Critical Care Medicine",1
Dr. Viviette Smith,1063374981,262-682-8112,"1130 S 74TH ST WEST ALLIS WI 532143007","Home Health Aide",3
Dr. Saladin-Malik Brown,1417819335,650-554-8597,"660 1ST AVE # A  SAN BRUNO CA 940664502","Counselor, Mental Health",2
